business_name,average_inspection_score,business_postal_code,business_latitude,business_longitude,business_location
ALVARADO ELEMENTARY SCHOOL,96.4,94114,37.753684,-122.438696,POINT (-122.438696 37.753684)
AMASIA HIDE'S SUSHI BAR,92.5,94114,37.766774,-122.433306,POINT (-122.433306 37.766774)
AMC Theatres Metreon 16 - Main Stand,92.33333333333333,94103,37.784548,-122.40419,POINT (-122.40419 37.784548)
AMC-Level #2,90.0,94109,37.784784,-122.421052,POINT (-122.421052 37.784784)
AMERICANA GRILL & FOUNTAIN,92.33333333333333,94121,37.775806,-122.496608,POINT (-122.496608 37.775806)
AMICI'S EAST COAST PIZZERIA,93.5,94103,37.777803,-122.392489,POINT (-122.392489 37.777803)
ANANDA FUARA,94.0,94102,37.777824,-122.415969,POINT (-122.415969 37.777824)
ANCHOR OYSTER BAR INC.,94.5,94114,37.759613,-122.434817,POINT (-122.434817 37.759613)
ANDERSEN BAKERY,93.0,94115,37.785457,-122.430317,POINT (-122.430317 37.785457)
ANGELINA'S DELI-CAFE & CATERING,92.0,94121,37.784038,-122.481982,POINT (-122.481982 37.784038)
ANH HONG PHU-NHUAN RESTAURANT,85.75,94109,37.786354,-122.416628,POINT (-122.416628 37.786354)
ANZU Restaurant,90.0,94102,37.785648,-122.409497,POINT (-122.409497 37.785648)
APTOS MIDDLE SCHOOL,95.8,94127,37.730198,-122.466238,POINT (-122.466238 37.730198)
ARCHBISHOP RIORDAN HIGH SCHOOL CAFE,94.0,94112,37.727337,-122.45245,POINT (-122.45245 37.727337)
ARGONNE ALTERNATIVE ELEMENTARY SCHO,98.16666666666667,94118,37.775155,-122.476785,POINT (-122.476785 37.775155)
ARIAKE,88.75,94118,37.780523,-122.47358,POINT (-122.47358 37.780523)
ARINELL PIZZA,90.33333333333333,94110,37.764744,-122.421803,POINT (-122.421803 37.764744)
ARIZMENDI BAKERY,92.0,94122,37.763448,-122.466344,POINT (-122.466344 37.763448)
ARLEQUIN,86.0,94102,37.777014,-122.422345,POINT (-122.422345 37.777014)
ART'S CAFE,90.5,94122,37.764013,-122.465749,POINT (-122.465749 37.764013)
ASIA SF LLC,82.5,94103,37.775025,-122.413093,POINT (-122.413093 37.775025)
ASIAN AMER.RECOVERY SERVICES,90.0,94117,37.773526,-122.449786,POINT (-122.449786 37.773526)
AT&T - COMMISARY KITCHEN [145184],96.0,94107,37.778382,-122.391151,POINT (-122.391151 37.778382)
AT&T - PANTRY/WALK-IN BOX/suite [145163],90.0,94107,37.778382,-122.391151,POINT (-122.391151 37.778382)
ATAMI SUSHI BAR & GRILL,94.33333333333333,94123,37.800788,-122.428894,POINT (-122.428894 37.800788)
ATLAS CAFE,92.0,94110,37.759073,-122.411418,POINT (-122.411418 37.759073)
AUTO CITY Food Mart,91.75,94110,37.764773,-122.417416,POINT (-122.417416 37.764773)
AVENUE FINE FOODS,100.0,94109,37.794494,-122.425527,POINT (-122.425527 37.794494)
AXUM,88.0,94117,37.771738,-122.433583,POINT (-122.433583 37.771738)
Academy Bar & Kitchen,92.5,94115,37.786498,-122.430283,POINT (-122.430283 37.786498)
Academy of Arts Univ- I House Cafe,97.33333333333333,94109,37.788498,-122.414514,POINT (-122.414514 37.788498)
Academy of Arts University,98.0,94109,37.790523,-122.413158,POINT (-122.413158 37.790523)
Acme Bread Company,96.0,94111,37.795225,-122.39377,POINT (-122.39377 37.795225)
Acquerello,100.0,94109,37.791507,-122.421257,POINT (-122.421257 37.791507)
Aicha,91.5,94109,37.788964,-122.420384,POINT (-122.420384 37.788964)
Ajisen Ramen,84.33333333333333,94103,37.784317,-122.407563,POINT (-122.407563 37.784317)
Akiba,96.0,94121,37.781585,-122.492793,POINT (-122.492793 37.781585)
Akiko's Sushi Bar,89.25,94102,37.788484,-122.410045,POINT (-122.410045 37.788484)
Akikos Sushi,89.5,94108,37.790643,-122.404676,POINT (-122.404676 37.790643)
Al's Super Cafe,92.66666666666667,94110,37.744324,-122.420831,POINT (-122.420831 37.744324)
Alcatraz Landing Cafe,95.75,94111,37.805934,-122.404248,POINT (-122.404248 37.805934)
Alexander's Steakhouse,84.0,94107,37.779153,-122.395569,POINT (-122.395569 37.779153)
Alice's Restaurant,76.25,94131,37.743602,-122.428803,POINT (-122.428803 37.743602)
"Alioto Fish Co., Ltd",96.0,94133,37.80792,-122.418577,POINT (-122.418577 37.80792)
Alioto's,88.66666666666667,94133,37.795202,-122.413169,POINT (-122.413169 37.795202)
All stars Donuts,85.0,94118,37.782694,-122.468969,POINT (-122.468969 37.782694)
Allstars Donuts & Burgers,94.0,94102,37.781697,-122.415334,POINT (-122.415334 37.781697)
Amarena,85.0,94109,37.797713,-122.420353,POINT (-122.420353 37.797713)
Amber India Corporation,86.5,94103,37.785386,-122.403918,POINT (-122.403918 37.785386)
Amici's East Coast Pizzeria,91.0,94123,37.799628,-122.437974,POINT (-122.437974 37.799628)
Amphawa Thai Noodle House,81.4,94122,37.780733,-122.473114,POINT (-122.473114 37.780733)
Ana's Market,91.5,94112,37.713153,-122.45641,POINT (-122.45641 37.713153)
Anchor & Hope,89.5,94105,37.787877,-122.398872,POINT (-122.398872 37.787877)
Andersen Bakery,90.0,94104,37.789064,-122.402861,POINT (-122.402861 37.789064)
Andersen Bread,87.4,94102,37.777053,-122.416939,POINT (-122.416939 37.777053)
Andrea's Bakery,73.0,94112,37.72604,-122.433714,POINT (-122.433714 37.72604)
Angel Cafe and Deli,92.66666666666667,94109,37.786528,-122.415064,POINT (-122.415064 37.786528)
Angel's Market,87.33333333333333,94114,37.748214,-122.433746,POINT (-122.433746 37.748214)
Angkor Borei Restaurant,93.0,94110,37.741333,-122.422603,POINT (-122.422603 37.741333)
Ann's Donut Coffee Shop,94.0,94112,37.725949,-122.433906,POINT (-122.433906 37.725949)
Annakoot,89.0,94102,37.779847,-122.418985,POINT (-122.418985 37.779847)
Annie's Hot Dogs,99.55555555555556,94102,37.779847,-122.418985,POINT (-122.418985 37.779847)
Another Cafe,95.75,94109,37.790253,-122.415357,POINT (-122.415357 37.790253)
Arabi Mediterranean Cuisine,84.0,94105,37.792577,-122.393992,POINT (-122.393992 37.792577)
Arabian Nights,83.75,94110,37.759484,-122.419107,POINT (-122.419107 37.759484)
Aria,84.0,94109,37.786565,-122.418116,POINT (-122.418116 37.786565)
Arizmendi Bakery,91.0,94110,37.752612,-122.420769,POINT (-122.420769 37.752612)
Aroma Tea Shop,95.5,94108,37.795033,-122.407368,POINT (-122.407368 37.795033)
Arts Valero,90.66666666666667,94134,37.724053,-122.402069,POINT (-122.402069 37.724053)
"Asana, Inc.",95.33333333333333,94103,37.767525,-122.410737,POINT (-122.410737 37.767525)
"Aslam's Rasoi, Inc.",89.33333333333333,94110,37.756293,-122.421016,POINT (-122.421016 37.756293)
Atelier Crenn,98.0,94123,37.798403,-122.435804,POINT (-122.435804 37.798403)
Aunt Fanny's Hot Pretzels,92.0,94133,37.802479,-122.411234,POINT (-122.411234 37.802479)
Aunt Fannys Cart 3,96.0,94133,37.80824,-122.410189,POINT (-122.410189 37.80824)
Auntie Anne's Pretzels,96.0,94103,37.784848,-122.406892,POINT (-122.406892 37.784848)
Auntie April's,88.33333333333333,94124,37.736277,-122.390334,POINT (-122.390334 37.736277)
Aux Delices Vietnam,77.0,94109,37.798274,-122.422264,POINT (-122.422264 37.798274)
Avedano's,88.25,94110,37.739466,-122.41895,POINT (-122.41895 37.739466)
Aveline / The European,92.33333333333333,94102,37.787008,-122.411304,POINT (-122.411304 37.787008)
Ayola,84.6,94105,37.787127,-122.400201,POINT (-122.400201 37.787127)
Azucar Lounge,94.0,94103,37.774722,-122.406761,POINT (-122.406761 37.774722)
B & J QUARTER POUNDER BURGERS,87.0,94124,37.722374,-122.395841,POINT (-122.395841 37.722374)
B & M MEI SING RESTAURANT,92.5,94105,37.788453,-122.400466,POINT (-122.400466 37.788453)
B Restaurant,85.33333333333333,94103,37.784404,-122.401339,POINT (-122.401339 37.784404)
B Star,83.66666666666667,94118,37.783093,-122.460649,POINT (-122.460649 37.783093)
B. Patisserie LLC,89.75,94115,37.788014,-122.440756,POINT (-122.440756 37.788014)
B44,86.66666666666667,94104,37.791278,-122.403748,POINT (-122.403748 37.791278)
BABY'S EATERY AND PALABOK,76.0,94112,37.724579,-122.434879,POINT (-122.434879 37.724579)
BAKERY/ICE CREAM/STOREROOM,92.0,94105,37.788286,-122.401543,POINT (-122.401543 37.788286)
BALBOA BI-RITE MARKET,91.0,94121,37.776243,-122.485239,POINT (-122.485239 37.776243)
BALBOA CAFE,79.0,94123,37.798835,-122.435894,POINT (-122.435894 37.798835)
BALBOA HIGH SCHOOL,98.33333333333333,94112,37.722067,-122.43983,POINT (-122.43983 37.722067)
BALOMPIE CAFE,84.0,94110,37.761836,-122.418296,POINT (-122.418296 37.761836)
"BAR NONE-SF, LLC",79.5,94123,37.797578,-122.431883,POINT (-122.431883 37.797578)
BARNEY'S,88.0,94114,37.751268,-122.434992,POINT (-122.434992 37.751268)
BARRIO,86.0,94133,37.799513,-122.410704,POINT (-122.410704 37.799513)
BASIL THAI RESTAURANT & BAR,87.66666666666667,94103,37.775508,-122.409361,POINT (-122.409361 37.775508)
BASK,96.0,94111,37.796095,-122.404063,POINT (-122.404063 37.796095)
BAY VIEW BOAT CLUB,93.0,94107,37.772667,-122.387032,POINT (-122.387032 37.772667)
BAYSIDE COFFEE SHOP,85.0,94134,37.715126,-122.398901,POINT (-122.398901 37.715126)
BAYSIDE MARKET,79.5,94107,37.78416,-122.389239,POINT (-122.389239 37.78416)
BAYVIEE HUNTER Pt. ADULT DAY HE,94.5,94124,37.73241,-122.383559,POINT (-122.383559 37.73241)
